timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1774263029,normal,sw-wk3,0.09722222222222221,0.4121393228829897,0.0,0.0,2141.9333333333334,5076.866666666667,0,0,0,0,0,0,{}
1774263029,normal,k3s-wk1,0.24288888888887517,0.6887618270584674,0.0,0.0,9466.633333333333,4155.966666666666,0,0,0,0,0,0,{}
1774263029,normal,sw-wk2,0.14647558740210043,0.3998213404637986,0.0,0.0,5050.624895850691,4628.528578570238,0,0,0,0,0,0,{}
1774263039,normal,sw-wk3,0.08744444444443322,0.41218707162908774,0.0,0.0,2818.633333333333,5118.633333333333,0,0,0,0,0,0,{}
1774263039,normal,k3s-wk1,0.24288888888887517,0.6887618270584674,0.0,0.0,9466.633333333333,4155.966666666666,0,39,3,0,34,0,"{""process_exit"": 39, ""process_exec"": 39, ""process_kprobe"": 34}"
1774263039,normal,sw-wk2,0.14647558740210043,0.3998213404637986,0.0,0.0,5050.624895850691,4628.528578570238,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263049,normal,sw-wk3,0.08744444444443322,0.41218707162908774,0.0,0.0,2818.633333333333,5118.633333333333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263049,normal,k3s-wk1,0.28566666666667717,0.712240923267229,130.6,120.46666666666667,9718.766666666668,6352.566666666667,0,12,2,0,11,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 11}"
1774263049,normal,sw-wk2,0.14647558740210043,0.3998213404637986,0.0,0.0,5050.624895850691,4628.528578570238,0,0,0,0,0,0,{}
1774263059,normal,sw-wk3,0.08744444444443322,0.41218707162908774,0.0,0.0,2818.633333333333,5118.633333333333,0,0,0,0,0,0,{}
1774263059,normal,k3s-wk1,0.28566666666667717,0.712240923267229,130.6,120.46666666666667,9718.766666666666,6352.566666666667,0,39,3,0,35,0,"{""process_exit"": 39, ""process_exec"": 39, ""process_kprobe"": 35}"
1774263059,normal,sw-wk2,0.07751291881980094,0.399805424246765,0.0,0.0,649.2748791465245,4664.344057342891,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263069,normal,sw-wk3,0.09653479096537132,0.41242780489066533,4.466220044662201,5.9994000599940005,1663.0670266306704,5190.814251908143,0,0,0,0,0,0,{}
1774263069,normal,k3s-wk1,0.28566666666667717,0.712240923267229,130.6,120.46666666666667,9718.766666666666,6352.566666666667,0,15,2,0,15,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 15}"
1774263069,normal,sw-wk2,0.07751291881980094,0.399805424246765,0.0,0.0,649.2748791465243,4664.34405734289,0,3,2,0,0,0,"{""process_exit"": 1, ""process_exec"": 3}"
1774263079,normal,sw-wk3,0.09653479096537132,0.41242780489066533,4.466220044662201,5.9994000599940005,1663.0670266306704,5190.814251908143,0,0,0,0,0,0,{}
1774263079,normal,k3s-wk1,0.2635555555555684,0.7146846337066232,194.46666666666667,179.26666666666665,10483.566666666666,5923.633333333333,0,33,3,0,31,0,"{""process_kprobe"": 31, ""process_exit"": 33, ""process_exec"": 33}"
1774263079,normal,sw-wk2,0.07751291881980094,0.399805424246765,0.0,0.0,649.2748791465243,4664.34405734289,0,0,0,0,0,0,{}
1774263089,normal,sw-wk3,0.09653479096537132,0.41242780489066533,4.466220044662201,5.9994000599940005,1663.0670266306704,5190.814251908143,0,0,0,0,0,0,{}
1774263089,normal,k3s-wk1,0.2635555555555684,0.7146846337066232,194.46666666666667,179.26666666666665,10483.566666666666,5923.633333333333,0,42,3,0,35,0,"{""process_exit"": 42, ""process_exec"": 42, ""process_kprobe"": 35}"
1774263089,normal,sw-wk2,0.22611111111111504,0.397845740024511,0.0,0.0,3604.4333333333334,23790.8,0,104,5,0,0,0,"{""process_exit"": 106, ""process_exec"": 104}"
1774263099,normal,sw-wk3,0.09511111111110548,0.41253523956938587,0.0,0.0,3584.6,5350.366666666667,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263099,normal,k3s-wk1,0.2635555555555684,0.7146846337066232,194.46666666666667,179.26666666666665,10483.566666666666,5923.633333333333,0,12,2,0,10,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 10}"
1774263099,normal,sw-wk2,0.22611111111111515,0.397845740024511,0.0,0.0,3604.4333333333334,23790.8,0,0,0,0,0,0,{}
1774263109,normal,sw-wk3,0.09511111111110548,0.41253523956938587,0.0,0.0,3584.6,5350.366666666667,0,0,0,0,0,0,{}
1774263109,normal,k3s-wk1,0.2644444444444364,0.7162084983748076,392.7333333333334,274.8333333333333,32563.066666666666,6330.4,0,15,2,0,12,0,"{""process_kprobe"": 12, ""process_exit"": 15, ""process_exec"": 15}"
1774263109,normal,sw-wk2,0.22611111111111515,0.397845740024511,0.0,0.0,3604.4333333333334,23790.8,0,0,0,0,0,0,{}
1774263119,normal,sw-wk3,0.09511111111110548,0.41253523956938587,0.0,0.0,3584.6,5350.366666666667,0,0,0,0,0,0,{}
1774263119,normal,k3s-wk1,0.2644444444444364,0.7162084983748076,392.73333333333335,274.8333333333333,32563.066666666666,6330.4,0,12,2,0,9,0,"{""process_kprobe"": 9, ""process_exit"": 12, ""process_exec"": 12}"
1774263119,normal,sw-wk2,0.09475719094755652,0.4014248993299273,0.0,0.0,3416.4250241642503,8505.649435056495,0,0,0,0,0,0,{}
1774263129,normal,sw-wk3,0.08902001311240715,0.412764035644439,0.0,0.0,3672.500583391672,5289.82898289829,0,0,0,0,0,0,{}
1774263129,normal,k3s-wk1,0.2644444444444364,0.7162084983748076,392.73333333333335,274.8333333333333,32563.066666666666,6330.4,0,60,3,0,56,0,"{""process_exit"": 60, ""process_exec"": 60, ""process_kprobe"": 56}"
1774263129,normal,sw-wk2,0.09475719094755652,0.4014248993299273,0.0,0.0,3416.4250241642503,8505.649435056495,0,107,7,0,0,0,"{""process_exec"": 107, ""process_exit"": 107}"
1774263139,normal,sw-wk3,0.08902001311240715,0.412764035644439,0.0,0.0,3672.500583391672,5289.82898289829,0,0,0,0,0,0,{}
1774263139,normal,k3s-wk1,0.29177777777778013,0.7175783974418023,196.46666666666667,181.26666666666665,33296.333333333336,11014.4,0,57,3,0,55,0,"{""process_kprobe"": 55, ""process_exit"": 57, ""process_exec"": 57}"
1774263139,normal,sw-wk2,0.09475719094755652,0.4014248993299273,0.0,0.0,3416.4250241642503,8505.649435056495,0,0,0,0,0,0,{}
1774263149,normal,sw-wk3,0.08902001311240715,0.412764035644439,0.0,0.0,3672.500583391672,5289.82898289829,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263149,normal,k3s-wk1,0.29177777777778013,0.7175783974418023,196.46666666666667,181.26666666666665,33296.333333333336,11014.4,0,42,3,0,36,0,"{""process_exit"": 42, ""process_exec"": 42, ""process_kprobe"": 36}"
1774263149,normal,sw-wk2,0.1590270138125094,0.4046300275350555,0.0,0.0,5511.317798446511,27905.757242390904,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263159,normal,sw-wk3,0.08911111111111591,0.41300476890601656,0.0,0.0,2701.8333333333335,5221.666666666667,0,0,0,0,0,0,{}
1774263159,normal,k3s-wk1,0.29177777777778013,0.7175783974418023,196.46666666666667,181.26666666666665,33296.333333333336,11014.4,0,48,3,0,47,0,"{""process_kprobe"": 47, ""process_exit"": 48, ""process_exec"": 48}"
1774263159,normal,sw-wk2,0.1590270138125094,0.4046300275350555,0.0,0.0,5511.317798446511,27905.757242390904,0,0,0,0,0,0,{}
1774263169,normal,sw-wk3,0.08911111111111591,0.41300476890601656,0.0,0.0,2701.8333333333335,5221.666666666667,0,0,0,0,0,0,{}
1774263169,normal,k3s-wk1,0.2837905236907642,0.7220644550012502,193.11720698254365,177.95511221945134,9404.056525353284,1304.6716541978387,0,36,3,0,31,0,"{""process_exit"": 36, ""process_exec"": 36, ""process_kprobe"": 31}"
1774263169,normal,sw-wk2,0.1590270138125094,0.4046300275350555,0.0,0.0,5511.317798446511,27905.757242390904,0,0,0,0,0,0,{}
1774263179,normal,sw-wk3,0.08911111111111591,0.41300476890601656,0.0,0.0,2701.8333333333335,5221.666666666667,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263179,normal,k3s-wk1,0.2837905236907642,0.7220644550012502,193.11720698254362,177.9551122194514,9404.056525353284,1304.6716541978387,0,54,3,0,49,0,"{""process_exit"": 54, ""process_exec"": 54, ""process_kprobe"": 49}"
1774263179,normal,sw-wk2,0.06988888888885825,0.40461809037228036,0.0,0.0,392.1,4261.833333333333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774263189,normal,sw-wk3,0.09799999999999676,0.4130346118723278,0.0,0.0,1953.8333333333333,5162.666666666668,0,0,0,0,0,0,{}
1774263189,normal,k3s-wk1,0.2837905236907642,0.7220644550012502,193.11720698254365,177.9551122194514,9404.056525353284,1304.6716541978387,0,60,3,0,58,0,"{""process_exit"": 60, ""process_exec"": 60, ""process_kprobe"": 58}"
1774263189,normal,sw-wk2,0.06988888888885825,0.40461809037228036,0.0,0.0,392.1,4261.833333333333,0,2,2,0,0,0,"{""process_exec"": 2}"
1774263199,normal,sw-wk3,0.09799999999999676,0.4130346118723278,0.0,0.0,1953.8333333333333,5162.666666666667,0,0,0,0,0,0,{}
