timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,net_drop_rate,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1776141503,normal,sw-wk2,0.17802739908662124,0.29507212304242003,113.19622679244023,97.99673344221858,528.9157028099063,3516.6161127962396,0.0,0,0,0,0,0,0,{}
1776141503,normal,k3s-wk1,0.32011111111108526,0.6024498144746987,0.0,0.0,9552.866666666667,10982.0,0.0,0,0,0,0,0,0,{}
1776141503,normal,sw-wk3,0.17800000000000482,0.3447618410489698,105.93333333333334,100.86666666666666,2154.133333333333,5023.533333333333,0.0,0,0,0,0,0,0,{}
1776141512,normal,sw-wk2,0.23313667322199894,0.29470895931291974,110.96296790106994,100.86330455651476,5519.449351688276,4362.454584847171,0.0,0,0,0,0,0,0,{}
1776141512,normal,k3s-wk1,0.32011111111108526,0.6024498144746987,0.0,0.0,9552.866666666667,10982.0,0.0,0,15,2,0,10,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 10}"
1776141512,normal,sw-wk3,0.17800000000000482,0.3447618410489698,105.93333333333334,100.86666666666666,2154.133333333333,5023.533333333333,0.0,0,0,0,0,0,0,{}
1776141522,normal,sw-wk2,0.23313667322199894,0.29470895931291974,110.96296790106994,100.86330455651476,5519.449351688276,4362.454584847171,0.0,0,0,0,0,0,0,{}
1776141522,normal,k3s-wk1,0.32011111111108526,0.6024498144746987,0.0,0.0,9552.866666666667,10982.0,0.0,0,60,3,0,52,0,"{""process_exit"": 60, ""process_exec"": 60, ""process_kprobe"": 52}"
1776141522,normal,sw-wk3,0.18896999188969987,0.3394577392102145,68.1931806819318,68.1931806819318,4560.14398560144,5418.691464186914,0.0,0,1,1,0,0,0,"{""process_exit"": 3, ""process_exec"": 1}"
1776141532,normal,sw-wk2,0.23313667322199894,0.29470895931291974,110.96296790106994,100.86330455651476,5519.449351688276,4362.454584847171,0.0,0,0,0,0,0,0,{}
1776141532,normal,k3s-wk1,0.3646666666666635,0.6268418480058429,297.5333333333333,277.26666666666665,9210.3,1699.1666666666667,0.0,0,57,3,0,50,0,"{""process_exit"": 57, ""process_exec"": 57, ""process_kprobe"": 50}"
1776141532,normal,sw-wk3,0.18896999188969987,0.3394577392102145,68.1931806819318,68.1931806819318,4560.14398560144,5418.691464186914,0.0,0,0,0,0,0,0,{}
1776141542,normal,sw-wk2,0.15727715181015944,0.2958080074416708,68.20454696979799,68.20454696979799,637.9425295019669,3634.908993932929,0.0,0,0,0,0,0,0,{}
1776141542,normal,k3s-wk1,0.3646666666666635,0.6268418480058429,297.5333333333333,277.26666666666665,9210.3,1699.1666666666667,0.0,0,37,3,0,31,0,"{""process_exit"": 38, ""process_exec"": 37, ""process_kprobe"": 31}"
1776141542,normal,sw-wk3,0.18896999188969987,0.3394577392102145,68.1931806819318,68.1931806819318,4560.14398560144,5418.691464186914,0.0,0,1,1,0,0,0,"{""process_exit"": 13, ""process_exec"": 1}"
1776141552,normal,sw-wk2,0.15727715181015944,0.2958080074416708,68.20454696979799,68.20454696979799,637.9425295019669,3634.908993932929,0.0,0,2,2,0,0,0,"{""process_exec"": 2}"
1776141552,normal,k3s-wk1,0.3646666666666635,0.6268418480058429,297.5333333333333,277.26666666666665,9210.3,1699.1666666666667,0.0,0,17,2,0,11,0,"{""process_exec"": 17, ""process_kprobe"": 11, ""process_exit"": 16}"
1776141552,normal,sw-wk3,0.18866666666662113,0.3438905666628439,100.86666666666666,100.86666666666669,2356.8333333333335,7533.866666666667,0.0,0,1,1,0,0,0,"{""process_exit"": 7, ""process_exec"": 1}"
1776141563,normal,sw-wk2,0.15727715181015944,0.2958080074416708,68.20454696979799,68.20454696979799,637.9425295019669,3634.908993932929,0.0,0,104,5,0,0,0,"{""process_exit"": 104, ""process_exec"": 104}"
1776141563,normal,k3s-wk1,0.3666666666666667,0.6319069652982459,223.86666666666667,208.66666666666666,12254.066666666666,4808.9,0.0,0,15,2,0,10,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 10}"
1776141563,normal,sw-wk3,0.18866666666662146,0.3438905666628439,100.86666666666666,100.86666666666666,2356.8333333333335,7533.866666666667,0.0,0,0,0,0,0,0,{}
1776141573,normal,k3s-wk1,0.3666666666666667,0.6319069652982459,223.86666666666667,208.66666666666666,12254.066666666666,4808.9,0.0,0,54,3,0,48,0,"{""process_exit"": 54, ""process_exec"": 54, ""process_kprobe"": 48}"
1776141573,normal,sw-wk2,0.24047960351592335,0.29407023713954406,100.87675434210087,100.87675434210087,3900.1566823349,27884.155082174882,0.0,0,0,0,0,0,0,"{""process_exit"": 2}"
1776141573,normal,sw-wk3,0.18866666666662146,0.3438905666628439,100.86666666666666,100.86666666666666,2356.8333333333335,7533.866666666667,0.0,0,0,0,0,0,0,{}
1776141582,normal,sw-wk2,0.24047960351592335,0.29407023713954406,100.87675434210087,100.87675434210087,3900.1566823349,27884.155082174882,0.0,0,0,0,0,0,0,{}
1776141582,normal,k3s-wk1,0.3666666666666667,0.6319069652982459,223.86666666666667,208.66666666666666,12254.066666666666,4808.9,0.0,0,30,3,0,26,0,"{""process_exit"": 30, ""process_exec"": 30, ""process_kprobe"": 26}"
1776141582,normal,sw-wk3,0.19380826971590903,0.3479315595652229,105.94392772610594,100.87675434210087,2972.3305663899723,6194.186085275194,0.0,0,0,0,0,0,0,{}
1776141593,normal,sw-wk2,0.24047960351592335,0.29407023713954406,100.87675434210087,100.87675434210087,3900.1566823349,27884.155082174882,0.0,0,0,0,0,0,0,{}
1776141593,normal,k3s-wk1,0.3615555555555653,0.6347143971471887,223.86666666666667,208.66666666666666,33090.13333333333,6440.066666666667,0.0,0,36,3,0,30,0,"{""process_exit"": 36, ""process_exec"": 36, ""process_kprobe"": 30}"
