node,timestamp,cpu,mem,net_out,net_in,latency
kind-worker2,1768908701.4792597,1.3,20.1,1173871,2122613,12.113571166992188
kind-worker2,1768908706.491616,1.2,20.1,1174418,2123612,4.721641540527344
kind-worker2,1768908711.5025768,1.5,20.1,1174965,2124611,3.4317970275878906
kind-worker2,1768908716.5116925,1.4,20.1,1175512,2125610,3.046274185180664
kind-worker2,1768908719.9752457,1.2,20.1,1176101,2126651,4.007816314697266
kind-worker2,1768908724.9844055,1.3,20.1,1176648,2127650,3.6427974700927734
kind-worker,1768908701.4801502,1.3,20.1,1174935,2123747,11.511564254760742
kind-worker,1768908706.508425,1.2,20.1,1175482,2124746,21.51012420654297
kind-worker2,1768908729.9959326,1.4,20.1,1177237,2128691,3.7109851837158203
kind-worker2,1768908735.0081348,1.3,20.1,1177784,2129690,3.6237239837646484
kind-worker,1768908711.5193887,1.5,20.1,1176029,2125745,3.740072250366211
kind-worker,1768908716.5276532,1.4,20.1,1176618,2126786,2.763509750366211
kind-worker,1768908719.9912608,1.2,20.1,1177165,2127785,4.060506820678711
kind-worker,1768908725.0005527,1.3,20.1,1177712,2128784,2.9442310333251953
kind-worker,1768908730.010168,1.4,20.1,1178259,2129783,3.612041473388672
kind-worker,1768908735.0205936,1.3,20.1,1178848,2130824,3.0279159545898438
kind-worker,1768908740.0371153,1.5,20.1,1179395,2131823,10.561704635620117
kind-worker,1768908745.0564075,1.2,20.1,1179942,2132822,13.321876525878906
kind-worker2,1768908740.0362487,1.5,20.1,1178331,2130689,21.830081939697266
kind-worker2,1768908745.0560014,1.2,20.1,1178878,2131688,17.598390579223633
kind-worker,1768908748.6540062,1.9,20.4,1180489,2133821,3.480195999145508
kind-worker2,1768908748.6564178,1.9,20.4,1179425,2132687,3.2002925872802734
kind-worker,1768908753.6594257,1.4,20.4,1181036,2134820,3.9043426513671875
kind-worker2,1768908753.6673396,1.4,20.4,1179972,2133686,2.9633045196533203
kind-worker,1768908758.6700785,1.4,20.4,1181625,2135861,3.2138824462890625
kind-worker2,1768908758.6741319,1.4,20.4,1180561,2134727,2.6564598083496094
kind-worker,1768908763.678861,1.5,20.4,1182172,2136860,2.8111934661865234
kind-worker2,1768908763.683113,1.5,20.4,1181108,2135726,2.743244171142578
kind-worker,1768908768.6887257,1.3,20.4,1182719,2137859,4.188299179077148
kind-worker2,1768908768.6919868,1.3,20.4,1181697,2136767,3.137826919555664
kind-worker2,1768908773.705683,1.4,20.4,1182244,2137766,12.625932693481445
kind-worker,1768908773.7064297,1.4,20.4,1183266,2138858,11.994600296020508
kind-worker,1768908778.7169955,1.3,20.4,1183855,2139899,3.4606456756591797
kind-worker2,1768908778.723216,1.3,20.4,1182791,2138765,10.845422744750977
kind-worker,1768908781.9973347,1.3,20.4,1184402,2140898,4.125833511352539
kind-worker2,1768908782.0021017,1.3,20.4,1183338,2139764,2.9866695404052734
kind-worker,1768908787.002847,1.4,20.4,1184949,2141897,3.1609535217285156
kind-worker2,1768908787.0078506,1.4,20.4,1183885,2140763,2.668619155883789
kind-worker2,1768908792.0156386,1.3,20.4,1184432,2141762,3.004789352416992
kind-worker,1768908792.0154393,1.3,20.4,1185496,2142896,3.281831741333008
kind-worker,1768908797.0248666,1.4,20.4,1186043,2143895,3.8993358612060547
kind-worker2,1768908797.0254881,1.4,20.4,1185021,2142803,3.798961639404297
kind-worker,1768908802.0350764,1.3,20.4,1186632,2144936,3.5550594329833984
kind-worker2,1768908802.034886,1.3,20.4,1185568,2143802,2.7620792388916016
kind-worker,1768908807.0405972,1.2,20.4,1187179,2145935,3.1006336212158203
kind-worker2,1768908807.0431075,1.2,20.4,1186115,2144801,3.1702518463134766
kind-worker,1768908810.2769513,1.3,20.4,1187726,2146934,20.39623260498047
kind-worker2,1768908810.2774627,1.3,20.4,1186704,2145842,18.5854434967041
kind-worker,1768908815.2879186,1.5,20.4,1188273,2147933,3.354787826538086
kind-worker2,1768908815.296288,1.4,20.4,1187251,2146841,12.543678283691406
kind-worker,1768908820.3002691,1.4,20.4,1188862,2148974,4.608631134033203
kind-worker2,1768908820.3056536,1.4,20.4,1187798,2147840,2.8302669525146484
kind-worker,1768908825.305916,1.5,20.4,1189409,2149973,2.871990203857422
kind-worker2,1768908825.3137784,1.5,20.4,1188345,2148839,2.5908946990966797
kind-worker,1768908830.3215551,1.4,20.4,1189956,2150972,4.045963287353516
kind-worker2,1768908830.327316,1.4,20.4,1188892,2149838,2.9115676879882812
kind-worker,1768908835.3334734,1.2,20.4,1190503,2151971,3.9103031158447266
kind-worker2,1768908835.3365746,1.2,20.4,1189481,2150879,3.3409595489501953
kind-worker,1768908840.3437343,1.3,20.4,1191050,2152970,3.6780834197998047
kind-worker2,1768908840.3593564,1.3,20.4,1190028,2151878,19.782304763793945
kind-worker,1768908843.3673482,1.5,20.4,1191639,2154011,4.186391830444336
kind-worker2,1768908843.3802514,1.5,20.4,1190617,2152919,2.8188228607177734
kind-worker,1768908848.3811953,1.3,20.4,1192186,2155010,11.695146560668945
kind-worker2,1768908848.3853745,1.3,20.4,1191164,2153918,2.947092056274414
kind-worker,1768908853.3872516,1.3,20.4,1192733,2156009,3.9560794830322266
kind-worker2,1768908853.3899837,1.3,20.4,1191711,2154917,3.226041793823242
kind-worker2,1768908858.395933,1.3,20.4,1192258,2155916,3.820657730102539
kind-worker,1768908858.3975341,1.3,20.4,1193280,2157008,3.204822540283203
kind-worker2,1768908863.4081094,1.3,20.4,1192805,2156915,4.026889801025391
kind-worker,1768908863.4078674,1.3,20.4,1193869,2158049,4.844427108764648
kind-worker2,1768908868.4161332,1.3,20.3,1193352,2157914,4.200458526611328
kind-worker,1768908868.418,1.3,20.3,1194416,2159048,3.0660629272460938
kind-worker,1768908871.4141397,1.4,20.3,1194963,2160047,2.689838409423828
kind-worker2,1768908871.4285061,1.4,20.3,1193941,2158955,18.497705459594727
kind-worker,1768908876.434294,1.2,20.3,1195510,2161046,2.9234886169433594
kind-worker2,1768908876.4379425,1.2,20.3,1194530,2159996,3.0121803283691406
kind-worker2,1768908881.4447494,1.3,20.3,1195077,2160995,3.0145645141601562
kind-worker,1768908881.4449255,1.3,20.3,1196057,2162045,3.2820701599121094
kind-worker2,1768908886.4530144,2.0,20.3,1195624,2161994,4.11224365234375
kind-worker,1768908886.454231,2.0,20.3,1196646,2163086,3.972768783569336
kind-worker2,1768908891.461157,1.3,20.3,1196171,2162993,2.9544830322265625
kind-worker,1768908891.4608405,1.3,20.3,1197193,2164085,3.3617019653320312
kind-worker,1768908896.4990308,1.4,20.3,1197740,2165084,30.812978744506836
kind-worker2,1768908896.4995706,1.4,20.3,1196718,2163992,31.957387924194336
kind-worker2,1768908899.8279974,1.3,20.3,1197265,2164991,3.427267074584961
kind-worker,1768908899.8287175,1.3,20.3,1198287,2166083,2.6884078979492188
kind-worker2,1768908904.8373373,1.2,20.3,1197812,2165990,3.3998489379882812
kind-worker,1768908904.8372223,1.2,20.3,1198876,2167124,2.557516098022461
kind-worker2,1768908909.8635976,1.4,20.3,1198401,2167031,20.145893096923828
kind-worker,1768908909.864201,1.4,20.3,1199423,2168123,17.64369010925293
kind-worker2,1768908914.87448,1.6,20.4,1198990,2168072,4.308938980102539
kind-worker,1768908914.874385,1.6,20.4,1199970,2169122,2.997159957885742
kind-worker,1768908919.8845208,1.3,20.4,1200517,2170121,3.261566162109375
kind-worker2,1768908919.884573,1.3,20.4,1199537,2169071,2.984762191772461
kind-worker2,1768908924.894656,1.5,20.4,1200084,2170070,3.5643577575683594
kind-worker,1768908924.8967779,1.5,20.4,1201064,2171120,3.233194351196289
kind-worker2,1768908930.200798,1.3,20.4,1200631,2171069,299.98302459716797
kind-worker,1768908930.2013156,1.4,20.4,1201653,2172161,298.62093925476074
kind-worker2,1768908933.2698488,1.5,20.4,1201178,2172068,4.637718200683594
kind-worker,1768908933.2740915,1.5,20.4,1202200,2173160,2.6705265045166016
kind-worker2,1768908938.2793076,1.6,20.4,1201725,2173067,3.8487911224365234
kind-worker,1768908938.2828546,1.6,20.4,1202747,2174159,2.948760986328125
kind-worker2,1768908943.2913165,1.7,20.4,1202272,2174066,4.6176910400390625
kind-worker,1768908943.293066,1.7,20.4,1203294,2175158,4.303216934204102
kind-worker,1768908948.2986598,1.4,20.3,1203883,2176199,4.252195358276367
kind-worker2,1768908948.3212729,1.4,20.3,1202903,2175149,23.449182510375977
kind-worker,1768908953.3196714,1.3,20.4,1204430,2177198,3.195524215698242
kind-worker2,1768908953.3313062,1.3,20.4,1203450,2176148,3.3919811248779297
kind-worker,1768908958.333587,1.4,20.4,1204977,2178197,3.814697265625
kind-worker2,1768908958.338301,1.4,20.4,1203997,2177147,3.1096935272216797
kind-worker,1768908961.280072,1.3,20.4,1205524,2179196,3.098726272583008
kind-worker2,1768908961.2836504,1.3,20.4,1204544,2178146,2.7489662170410156
kind-worker,1768908966.301823,1.3,20.4,1206113,2180237,13.561010360717773
kind-worker2,1768908966.3028324,1.3,20.4,1205091,2179145,12.769222259521484
kind-worker,1768908971.3113072,1.4,20.4,1206660,2181236,3.5660266876220703
kind-worker2,1768908971.3123097,1.4,20.4,1205638,2180144,3.4139156341552734
kind-worker,1768908976.3184233,1.3,20.4,1207207,2182235,3.9980411529541016
kind-worker2,1768908976.3217611,1.3,20.4,1206185,2181143,3.1843185424804688
kind-worker,1768908981.331143,1.4,20.4,1207754,2183234,4.664421081542969
kind-worker2,1768908981.333495,1.4,20.4,1206774,2182184,3.936767578125
kind-worker2,1768908986.3410404,1.4,20.4,1207363,2183225,3.809690475463867
kind-worker,1768908986.3550608,1.4,20.4,1208301,2184233,17.78721809387207
kind-worker2,1768908991.352018,1.3,20.4,1207910,2184224,4.441738128662109
kind-worker,1768908991.3647022,1.3,20.4,1208890,2185274,2.893209457397461
kind-worker2,1768908994.729184,1.4,20.4,1208457,2185223,3.5583972930908203
kind-worker,1768908994.7470043,1.4,20.4,1209437,2186273,3.6880970001220703
kind-worker2,1768908999.744055,1.5,20.4,1209004,2186222,4.942417144775391
kind-worker,1768908999.759293,1.5,20.4,1209984,2187272,11.223793029785156
kind-worker2,1768909004.7540426,1.3,20.4,1209551,2187221,3.644227981567383
kind-worker,1768909004.7649045,1.4,20.4,1210573,2188313,2.8581619262695312
kind-worker2,1768909009.7641256,1.3,20.4,1210098,2188220,4.1790008544921875
kind-worker,1768909009.7725332,1.3,20.4,1211120,2189312,2.470254898071289
kind-worker2,1768909014.7744033,1.3,20.4,1210645,2189219,3.171205520629883
kind-worker,1768909014.781197,1.2,20.4,1211667,2190311,2.5408267974853516
kind-worker,1768909019.7899854,1.5,20.4,1212214,2191310,2.953767776489258
kind-worker2,1768909019.792448,1.5,20.4,1211234,2190260,11.993885040283203
kind-worker,1768909022.994382,1.4,20.4,1212761,2192309,4.112720489501953
kind-worker2,1768909022.996711,1.4,20.4,1211823,2191301,3.458261489868164
kind-worker,1768909028.0001905,1.4,20.4,1213308,2193308,3.648519515991211
kind-worker2,1768909028.000995,1.4,20.4,1212370,2192300,2.947568893432617
kind-worker2,1768909033.012545,1.3,20.4,1212917,2193299,3.1478404998779297
kind-worker,1768909033.0173175,1.3,20.4,1213897,2194349,14.675140380859375
kind-worker2,1768909038.0166233,1.4,20.4,1213464,2194298,3.1769275665283203
kind-worker,1768909038.026095,1.4,20.4,1214444,2195348,2.569913864135742
kind-worker2,1768909043.0258815,1.5,20.4,1214011,2195297,3.2792091369628906
kind-worker,1768909043.0329201,1.5,20.4,1215033,2196389,2.444744110107422
kind-worker2,1768909048.0359657,1.2,20.4,1214558,2196296,3.007650375366211
kind-worker,1768909048.042084,1.2,20.4,1215580,2197388,2.938985824584961
kind-worker2,1768909053.0473385,1.5,20.4,1215105,2197295,4.196405410766602
kind-worker,1768909053.0672064,1.6,20.4,1216127,2198387,21.532297134399414
kind-worker2,1768909056.2955978,1.5,20.4,1215694,2198336,4.054546356201172
kind-worker,1768909056.3157856,1.5,20.4,1216674,2199386,2.994537353515625
kind-worker2,1768909061.3073552,1.3,20.4,1216283,2199377,4.537105560302734
kind-worker,1768909061.3258495,1.3,20.4,1217221,2200385,3.4308433532714844
kind-worker2,1768909066.333056,1.2,20.4,1216830,2200376,19.60921287536621
kind-worker,1768909066.334236,1.2,20.4,1217768,2201384,2.5115013122558594
kind-worker2,1768909071.3445423,1.6,20.4,1217377,2201375,4.215240478515625
kind-worker,1768909071.3469684,1.6,20.4,1218315,2202383,3.5343170166015625
kind-worker2,1768909076.352987,1.3,20.4,1217924,2202374,4.060506820678711
