start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774292371,1774292551,normal,all,0449aaec,4a9d4eec,1760
1774292551,1774292682,security_suspicious_network,k3s-wk1,0449aaec,4a9d4eec,1760
1774292682,1774292743,transition,all,0449aaec,4a9d4eec,1760
1774292743,1774292863,normal,all,0449aaec,4a9d4eec,1760
1774292863,1774292990,security_high_process,sw-wk2,0449aaec,4a9d4eec,1760
1774292990,1774293050,transition,all,0449aaec,4a9d4eec,1760
1774293050,1774293170,normal,all,0449aaec,4a9d4eec,1760
1774293170,1774293295,security_tmp_exec,sw-wk2,0449aaec,4a9d4eec,1760
1774293296,1774293356,transition,all,0449aaec,4a9d4eec,1760
1774293356,1774293476,normal,all,0449aaec,4a9d4eec,1760
1774293476,1774293593,edge_network_flap,sw-wk2,0449aaec,4a9d4eec,1760
1774293594,1774293654,transition,all,0449aaec,4a9d4eec,1760
1774293654,1774293774,normal,all,0449aaec,4a9d4eec,1760
1774293774,1774293886,memory_leak,sw-wk2,0449aaec,4a9d4eec,1760
1774293886,1774293946,transition,all,0449aaec,4a9d4eec,1760
1774293946,1774294067,normal,all,0449aaec,4a9d4eec,1760
1774294067,1774294198,crash_loop,sw-wk2,0449aaec,4a9d4eec,1760
1774294199,1774294259,transition,all,0449aaec,4a9d4eec,1760
1774294259,1774294379,normal,all,0449aaec,4a9d4eec,1760
1774294379,1774294493,cpu_stress,k3s-wk1,0449aaec,4a9d4eec,1760
1774294493,1774294553,transition,all,0449aaec,4a9d4eec,1760
1774294553,1774294673,normal,all,0449aaec,4a9d4eec,1760
1774294673,1774294777,network_chaos,k3s-wk1,0449aaec,4a9d4eec,1760
1774294778,1774294838,transition,all,0449aaec,4a9d4eec,1760
1774294838,1774294958,normal,all,0449aaec,4a9d4eec,1760
