start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774213036,1774213216,normal,all,0ecc0023,14e38743,6001
1774213216,1774213356,crash_loop,sw-wk3,0ecc0023,14e38743,6001
1774213357,1774213417,transition,all,0ecc0023,14e38743,6001
1774213417,1774213537,normal,all,0ecc0023,14e38743,6001
1774213537,1774213649,security_high_process,sw-wk2,0ecc0023,14e38743,6001
1774213649,1774213709,transition,all,0ecc0023,14e38743,6001
1774213709,1774213829,normal,all,0ecc0023,14e38743,6001
1774213829,1774213951,network_chaos,sw-wk3,0ecc0023,14e38743,6001
1774213952,1774214012,transition,all,0ecc0023,14e38743,6001
1774214012,1774214132,normal,all,0ecc0023,14e38743,6001
1774214132,1774214253,cpu_stress,sw-wk2,0ecc0023,14e38743,6001
1774214254,1774214314,transition,all,0ecc0023,14e38743,6001
1774214314,1774214434,normal,all,0ecc0023,14e38743,6001
1774214434,1774214548,memory_leak,sw-wk2,0ecc0023,14e38743,6001
1774214548,1774214608,transition,all,0ecc0023,14e38743,6001
1774214608,1774214728,normal,all,0ecc0023,14e38743,6001
1774214728,1774214856,edge_network_flap,k3s-wk1,0ecc0023,14e38743,6001
1774214857,1774214917,transition,all,0ecc0023,14e38743,6001
1774214917,1774215037,normal,all,0ecc0023,14e38743,6001
1774215037,1774215172,security_suspicious_network,k3s-wk1,0ecc0023,14e38743,6001
1774215173,1774215233,transition,all,0ecc0023,14e38743,6001
1774215233,1774215353,normal,all,0ecc0023,14e38743,6001
1774215353,1774215478,security_tmp_exec,sw-wk3,0ecc0023,14e38743,6001
1774215478,1774215538,transition,all,0ecc0023,14e38743,6001
1774215538,1774215658,normal,all,0ecc0023,14e38743,6001
