start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774278988,1774279168,normal,all,1f188677,140c2a8b,8702
1774279168,1774279294,security_high_process,k3s-wk1,1f188677,140c2a8b,8702
1774279295,1774279355,transition,all,1f188677,140c2a8b,8702
1774279355,1774279475,normal,all,1f188677,140c2a8b,8702
1774279475,1774279600,security_suspicious_network,sw-wk3,1f188677,140c2a8b,8702
1774279600,1774279660,transition,all,1f188677,140c2a8b,8702
1774279660,1774279780,normal,all,1f188677,140c2a8b,8702
1774279780,1774279921,edge_network_flap,sw-wk2,1f188677,140c2a8b,8702
1774279921,1774279982,transition,all,1f188677,140c2a8b,8702
1774279982,1774280102,normal,all,1f188677,140c2a8b,8702
1774280102,1774280232,network_chaos,k3s-wk1,1f188677,140c2a8b,8702
1774280233,1774280293,transition,all,1f188677,140c2a8b,8702
1774280293,1774280413,normal,all,1f188677,140c2a8b,8702
1774280413,1774280526,security_tmp_exec,sw-wk3,1f188677,140c2a8b,8702
1774280526,1774280586,transition,all,1f188677,140c2a8b,8702
1774280586,1774280706,normal,all,1f188677,140c2a8b,8702
1774280706,1774280807,crash_loop,sw-wk3,1f188677,140c2a8b,8702
1774280808,1774280868,transition,all,1f188677,140c2a8b,8702
1774280868,1774280988,normal,all,1f188677,140c2a8b,8702
1774280988,1774281117,memory_leak,sw-wk3,1f188677,140c2a8b,8702
1774281117,1774281177,transition,all,1f188677,140c2a8b,8702
1774281177,1774281297,normal,all,1f188677,140c2a8b,8702
1774281297,1774281404,cpu_stress,sw-wk2,1f188677,140c2a8b,8702
1774281405,1774281465,transition,all,1f188677,140c2a8b,8702
1774281465,1774281585,normal,all,1f188677,140c2a8b,8702
