start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774281650,1774281830,normal,all,28714e54,170ab69a,381
1774281830,1774281944,network_chaos,k3s-wk1,28714e54,170ab69a,381
1774281944,1774282004,transition,all,28714e54,170ab69a,381
1774282004,1774282125,normal,all,28714e54,170ab69a,381
1774282125,1774282259,security_high_process,sw-wk2,28714e54,170ab69a,381
1774282259,1774282319,transition,all,28714e54,170ab69a,381
1774282319,1774282440,normal,all,28714e54,170ab69a,381
1774282440,1774282579,security_tmp_exec,k3s-wk1,28714e54,170ab69a,381
1774282580,1774282640,transition,all,28714e54,170ab69a,381
1774282640,1774282760,normal,all,28714e54,170ab69a,381
1774282760,1774282898,memory_leak,sw-wk3,28714e54,170ab69a,381
1774282898,1774282959,transition,all,28714e54,170ab69a,381
1774282959,1774283079,normal,all,28714e54,170ab69a,381
1774283079,1774283219,cpu_stress,sw-wk3,28714e54,170ab69a,381
1774283220,1774283280,transition,all,28714e54,170ab69a,381
1774283280,1774283400,normal,all,28714e54,170ab69a,381
1774283400,1774283538,edge_network_flap,sw-wk3,28714e54,170ab69a,381
1774283539,1774283599,transition,all,28714e54,170ab69a,381
1774283599,1774283719,normal,all,28714e54,170ab69a,381
1774283719,1774283837,crash_loop,k3s-wk1,28714e54,170ab69a,381
1774283838,1774283898,transition,all,28714e54,170ab69a,381
1774283898,1774284018,normal,all,28714e54,170ab69a,381
1774284018,1774284159,security_suspicious_network,sw-wk2,28714e54,170ab69a,381
1774284159,1774284219,transition,all,28714e54,170ab69a,381
1774284219,1774284339,normal,all,28714e54,170ab69a,381
