start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776401340,1776401520,normal,all,356cc6d4,e400cab7,612
1776401520,1776401640,network_chaos,sw-wk3,356cc6d4,e400cab7,612
1776401640,1776401641,transition,all,356cc6d4,e400cab7,612
1776401641,1776401761,normal,all,356cc6d4,e400cab7,612
1776401761,1776401873,security_suspicious_network,sw-wk2,356cc6d4,e400cab7,612
1776401874,1776401874,transition,all,356cc6d4,e400cab7,612
1776401874,1776401994,normal,all,356cc6d4,e400cab7,612
1776401994,1776402096,cpu_stress,sw-wk3,356cc6d4,e400cab7,612
1776402096,1776402097,transition,all,356cc6d4,e400cab7,612
1776402097,1776402217,normal,all,356cc6d4,e400cab7,612
1776402217,1776402322,security_high_process,sw-wk3,356cc6d4,e400cab7,612
1776402322,1776402323,transition,all,356cc6d4,e400cab7,612
1776402323,1776402443,normal,all,356cc6d4,e400cab7,612
1776402443,1776402570,security_tmp_exec,sw-wk2,356cc6d4,e400cab7,612
1776402571,1776402571,transition,all,356cc6d4,e400cab7,612
1776402571,1776402691,normal,all,356cc6d4,e400cab7,612
1776402691,1776402823,edge_network_flap,sw-wk2,356cc6d4,e400cab7,612
1776402823,1776402824,transition,all,356cc6d4,e400cab7,612
1776402824,1776402944,normal,all,356cc6d4,e400cab7,612
1776402944,1776403049,memory_leak,sw-wk3,356cc6d4,e400cab7,612
1776403049,1776403050,transition,all,356cc6d4,e400cab7,612
1776403050,1776403170,normal,all,356cc6d4,e400cab7,612
1776403170,1776403296,crash_loop,sw-wk3,356cc6d4,e400cab7,612
1776403296,1776403297,transition,all,356cc6d4,e400cab7,612
1776403297,1776403417,normal,all,356cc6d4,e400cab7,612
