start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776376449,1776376629,normal,all,5cdc29f7,a1e79ffb,9884
1776376629,1776376765,network_chaos,sw-wk3,5cdc29f7,a1e79ffb,9884
1776376766,1776376766,transition,all,5cdc29f7,a1e79ffb,9884
1776376766,1776376886,normal,all,5cdc29f7,a1e79ffb,9884
1776376886,1776376992,security_tmp_exec,sw-wk2,5cdc29f7,a1e79ffb,9884
1776376992,1776376993,transition,all,5cdc29f7,a1e79ffb,9884
1776376993,1776377113,normal,all,5cdc29f7,a1e79ffb,9884
1776377113,1776377252,memory_leak,sw-wk3,5cdc29f7,a1e79ffb,9884
1776377252,1776377253,transition,all,5cdc29f7,a1e79ffb,9884
1776377253,1776377373,normal,all,5cdc29f7,a1e79ffb,9884
1776377373,1776377476,crash_loop,sw-wk3,5cdc29f7,a1e79ffb,9884
1776377477,1776377477,transition,all,5cdc29f7,a1e79ffb,9884
1776377477,1776377598,normal,all,5cdc29f7,a1e79ffb,9884
1776377598,1776377716,security_suspicious_network,sw-wk2,5cdc29f7,a1e79ffb,9884
1776377717,1776377717,transition,all,5cdc29f7,a1e79ffb,9884
1776377717,1776377837,normal,all,5cdc29f7,a1e79ffb,9884
1776377837,1776377945,cpu_stress,sw-wk3,5cdc29f7,a1e79ffb,9884
1776377945,1776377946,transition,all,5cdc29f7,a1e79ffb,9884
1776377946,1776378066,normal,all,5cdc29f7,a1e79ffb,9884
1776378066,1776378189,security_high_process,sw-wk3,5cdc29f7,a1e79ffb,9884
1776378189,1776378190,transition,all,5cdc29f7,a1e79ffb,9884
1776378190,1776378310,normal,all,5cdc29f7,a1e79ffb,9884
1776378310,1776378445,edge_network_flap,sw-wk3,5cdc29f7,a1e79ffb,9884
1776378445,1776378446,transition,all,5cdc29f7,a1e79ffb,9884
1776378446,1776378566,normal,all,5cdc29f7,a1e79ffb,9884
