start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776389639,1776389819,normal,all,6499797c,c7db919e,9576
1776389819,1776389932,security_suspicious_network,sw-wk2,6499797c,c7db919e,9576
1776389932,1776389933,transition,all,6499797c,c7db919e,9576
1776389933,1776390053,normal,all,6499797c,c7db919e,9576
1776390053,1776390176,cpu_stress,sw-wk3,6499797c,c7db919e,9576
1776390176,1776390177,transition,all,6499797c,c7db919e,9576
1776390177,1776390297,normal,all,6499797c,c7db919e,9576
1776390297,1776390430,security_high_process,sw-wk3,6499797c,c7db919e,9576
1776390430,1776390430,transition,all,6499797c,c7db919e,9576
1776390430,1776390551,normal,all,6499797c,c7db919e,9576
1776390551,1776390691,network_chaos,sw-wk2,6499797c,c7db919e,9576
1776390692,1776390692,transition,all,6499797c,c7db919e,9576
1776390692,1776390812,normal,all,6499797c,c7db919e,9576
1776390812,1776390952,crash_loop,sw-wk3,6499797c,c7db919e,9576
1776390953,1776390953,transition,all,6499797c,c7db919e,9576
1776390953,1776391073,normal,all,6499797c,c7db919e,9576
1776391073,1776391202,security_tmp_exec,sw-wk3,6499797c,c7db919e,9576
1776391203,1776391203,transition,all,6499797c,c7db919e,9576
1776391203,1776391323,normal,all,6499797c,c7db919e,9576
1776391323,1776391462,edge_network_flap,sw-wk2,6499797c,c7db919e,9576
1776391462,1776391463,transition,all,6499797c,c7db919e,9576
1776391463,1776391583,normal,all,6499797c,c7db919e,9576
1776391583,1776391699,memory_leak,sw-wk3,6499797c,c7db919e,9576
1776391699,1776391700,transition,all,6499797c,c7db919e,9576
1776391700,1776391820,normal,all,6499797c,c7db919e,9576
