start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776407855,1776408035,normal,all,68818f5b,0a608db6,5317
1776408035,1776408159,security_tmp_exec,sw-wk3,68818f5b,0a608db6,5317
1776408159,1776408160,transition,all,68818f5b,0a608db6,5317
1776408160,1776408280,normal,all,68818f5b,0a608db6,5317
1776408280,1776408413,network_chaos,sw-wk3,68818f5b,0a608db6,5317
1776408414,1776408414,transition,all,68818f5b,0a608db6,5317
1776408414,1776408534,normal,all,68818f5b,0a608db6,5317
1776408534,1776408643,security_suspicious_network,sw-wk3,68818f5b,0a608db6,5317
1776408643,1776408644,transition,all,68818f5b,0a608db6,5317
1776408644,1776408764,normal,all,68818f5b,0a608db6,5317
1776408764,1776408889,crash_loop,sw-wk3,68818f5b,0a608db6,5317
1776408890,1776408890,transition,all,68818f5b,0a608db6,5317
1776408890,1776409010,normal,all,68818f5b,0a608db6,5317
1776409010,1776409135,security_high_process,sw-wk3,68818f5b,0a608db6,5317
1776409136,1776409136,transition,all,68818f5b,0a608db6,5317
1776409136,1776409256,normal,all,68818f5b,0a608db6,5317
1776409256,1776409368,edge_network_flap,sw-wk2,68818f5b,0a608db6,5317
1776409368,1776409369,transition,all,68818f5b,0a608db6,5317
1776409369,1776409489,normal,all,68818f5b,0a608db6,5317
1776409489,1776409601,cpu_stress,sw-wk3,68818f5b,0a608db6,5317
1776409601,1776409602,transition,all,68818f5b,0a608db6,5317
1776409602,1776409722,normal,all,68818f5b,0a608db6,5317
1776409722,1776409823,memory_leak,sw-wk3,68818f5b,0a608db6,5317
1776409824,1776409824,transition,all,68818f5b,0a608db6,5317
1776409824,1776409944,normal,all,68818f5b,0a608db6,5317
