start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776126244,1776126424,normal,all,6c1ec28a,87e75f76,4338
1776126424,1776126563,security_tmp_exec,sw-wk3,6c1ec28a,87e75f76,4338
1776126563,1776126564,transition,all,6c1ec28a,87e75f76,4338
1776126564,1776126684,normal,all,6c1ec28a,87e75f76,4338
1776126684,1776126796,crash_loop,sw-wk3,6c1ec28a,87e75f76,4338
1776126797,1776126797,transition,all,6c1ec28a,87e75f76,4338
1776126797,1776126917,normal,all,6c1ec28a,87e75f76,4338
1776126917,1776127033,cpu_stress,sw-wk3,6c1ec28a,87e75f76,4338
1776127033,1776127034,transition,all,6c1ec28a,87e75f76,4338
1776127034,1776127154,normal,all,6c1ec28a,87e75f76,4338
1776127154,1776127278,network_chaos,sw-wk3,6c1ec28a,87e75f76,4338
1776127278,1776127279,transition,all,6c1ec28a,87e75f76,4338
1776127279,1776127399,normal,all,6c1ec28a,87e75f76,4338
1776127399,1776127527,security_suspicious_network,sw-wk2,6c1ec28a,87e75f76,4338
1776127528,1776127528,transition,all,6c1ec28a,87e75f76,4338
1776127528,1776127648,normal,all,6c1ec28a,87e75f76,4338
1776127648,1776127756,memory_leak,sw-wk3,6c1ec28a,87e75f76,4338
1776127757,1776127758,transition,all,6c1ec28a,87e75f76,4338
1776127758,1776127878,normal,all,6c1ec28a,87e75f76,4338
1776127878,1776128009,edge_network_flap,sw-wk2,6c1ec28a,87e75f76,4338
1776128010,1776128010,transition,all,6c1ec28a,87e75f76,4338
1776128010,1776128130,normal,all,6c1ec28a,87e75f76,4338
1776128130,1776128239,security_high_process,sw-wk3,6c1ec28a,87e75f76,4338
1776128239,1776128240,transition,all,6c1ec28a,87e75f76,4338
1776128240,1776128360,normal,all,6c1ec28a,87e75f76,4338
