start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774249746,1774249926,normal,all,714cf708,fe727446,6373
1774249926,1774250036,network_chaos,sw-wk3,714cf708,fe727446,6373
1774250036,1774250096,transition,all,714cf708,fe727446,6373
1774250096,1774250216,normal,all,714cf708,fe727446,6373
1774250216,1774250325,security_suspicious_network,sw-wk3,714cf708,fe727446,6373
1774250326,1774250386,transition,all,714cf708,fe727446,6373
1774250386,1774250506,normal,all,714cf708,fe727446,6373
1774250506,1774250630,security_high_process,sw-wk3,714cf708,fe727446,6373
1774250631,1774250691,transition,all,714cf708,fe727446,6373
1774250691,1774250811,normal,all,714cf708,fe727446,6373
1774250811,1774250938,memory_leak,sw-wk2,714cf708,fe727446,6373
1774250938,1774250999,transition,all,714cf708,fe727446,6373
1774250999,1774251119,normal,all,714cf708,fe727446,6373
1774251119,1774251248,crash_loop,sw-wk3,714cf708,fe727446,6373
1774251249,1774251309,transition,all,714cf708,fe727446,6373
1774251309,1774251429,normal,all,714cf708,fe727446,6373
1774251429,1774251570,security_tmp_exec,sw-wk2,714cf708,fe727446,6373
1774251571,1774251631,transition,all,714cf708,fe727446,6373
1774251631,1774251751,normal,all,714cf708,fe727446,6373
1774251751,1774251884,cpu_stress,sw-wk2,714cf708,fe727446,6373
1774251884,1774251944,transition,all,714cf708,fe727446,6373
1774251944,1774252064,normal,all,714cf708,fe727446,6373
1774252064,1774252187,edge_network_flap,k3s-wk1,714cf708,fe727446,6373
1774252188,1774252248,transition,all,714cf708,fe727446,6373
1774252248,1774252368,normal,all,714cf708,fe727446,6373
