start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776137147,1776137327,normal,all,940e1b88,1287763a,7758
1776137327,1776137443,network_chaos,sw-wk3,940e1b88,1287763a,7758
1776137443,1776137444,transition,all,940e1b88,1287763a,7758
1776137444,1776137564,normal,all,940e1b88,1287763a,7758
1776137564,1776137678,edge_network_flap,sw-wk3,940e1b88,1287763a,7758
1776137678,1776137679,transition,all,940e1b88,1287763a,7758
1776137679,1776137799,normal,all,940e1b88,1287763a,7758
1776137799,1776137923,security_tmp_exec,sw-wk3,940e1b88,1287763a,7758
1776137924,1776137924,transition,all,940e1b88,1287763a,7758
1776137924,1776138044,normal,all,940e1b88,1287763a,7758
1776138044,1776138164,security_suspicious_network,sw-wk2,940e1b88,1287763a,7758
1776138165,1776138165,transition,all,940e1b88,1287763a,7758
1776138165,1776138285,normal,all,940e1b88,1287763a,7758
1776138285,1776138389,memory_leak,sw-wk3,940e1b88,1287763a,7758
1776138389,1776138390,transition,all,940e1b88,1287763a,7758
1776138390,1776138510,normal,all,940e1b88,1287763a,7758
1776138510,1776138625,crash_loop,sw-wk3,940e1b88,1287763a,7758
1776138626,1776138626,transition,all,940e1b88,1287763a,7758
1776138626,1776138747,normal,all,940e1b88,1287763a,7758
1776138747,1776138876,security_high_process,sw-wk3,940e1b88,1287763a,7758
1776138877,1776138877,transition,all,940e1b88,1287763a,7758
1776138877,1776138997,normal,all,940e1b88,1287763a,7758
1776138997,1776139135,cpu_stress,sw-wk3,940e1b88,1287763a,7758
1776139135,1776139136,transition,all,940e1b88,1287763a,7758
1776139136,1776139256,normal,all,940e1b88,1287763a,7758
