start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776134950,1776135130,normal,all,99a9dfc4,2ba03a22,547
1776135130,1776135258,crash_loop,sw-wk3,99a9dfc4,2ba03a22,547
1776135258,1776135259,transition,all,99a9dfc4,2ba03a22,547
1776135259,1776135379,normal,all,99a9dfc4,2ba03a22,547
1776135379,1776135503,security_high_process,sw-wk3,99a9dfc4,2ba03a22,547
1776135503,1776135504,transition,all,99a9dfc4,2ba03a22,547
1776135504,1776135624,normal,all,99a9dfc4,2ba03a22,547
1776135624,1776135759,memory_leak,sw-wk3,99a9dfc4,2ba03a22,547
1776135760,1776135760,transition,all,99a9dfc4,2ba03a22,547
1776135760,1776135880,normal,all,99a9dfc4,2ba03a22,547
1776135880,1776135994,edge_network_flap,sw-wk2,99a9dfc4,2ba03a22,547
1776135995,1776135995,transition,all,99a9dfc4,2ba03a22,547
1776135995,1776136115,normal,all,99a9dfc4,2ba03a22,547
1776136115,1776136245,network_chaos,sw-wk3,99a9dfc4,2ba03a22,547
1776136245,1776136246,transition,all,99a9dfc4,2ba03a22,547
1776136246,1776136366,normal,all,99a9dfc4,2ba03a22,547
1776136366,1776136485,security_tmp_exec,sw-wk3,99a9dfc4,2ba03a22,547
1776136485,1776136485,transition,all,99a9dfc4,2ba03a22,547
1776136485,1776136606,normal,all,99a9dfc4,2ba03a22,547
1776136606,1776136710,security_suspicious_network,sw-wk3,99a9dfc4,2ba03a22,547
1776136711,1776136711,transition,all,99a9dfc4,2ba03a22,547
1776136711,1776136831,normal,all,99a9dfc4,2ba03a22,547
1776136831,1776136961,cpu_stress,sw-wk3,99a9dfc4,2ba03a22,547
1776136961,1776136962,transition,all,99a9dfc4,2ba03a22,547
1776136962,1776137082,normal,all,99a9dfc4,2ba03a22,547
