start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774218394,1774218574,normal,all,9fcfa2af,3c388026,4069
1774218574,1774218707,network_chaos,sw-wk2,9fcfa2af,3c388026,4069
1774218708,1774218768,transition,all,9fcfa2af,3c388026,4069
1774218768,1774218888,normal,all,9fcfa2af,3c388026,4069
1774218888,1774219022,security_high_process,sw-wk2,9fcfa2af,3c388026,4069
1774219022,1774219082,transition,all,9fcfa2af,3c388026,4069
1774219082,1774219202,normal,all,9fcfa2af,3c388026,4069
1774219202,1774219340,security_tmp_exec,sw-wk3,9fcfa2af,3c388026,4069
1774219341,1774219401,transition,all,9fcfa2af,3c388026,4069
1774219401,1774219521,normal,all,9fcfa2af,3c388026,4069
1774219521,1774219631,edge_network_flap,sw-wk2,9fcfa2af,3c388026,4069
1774219632,1774219692,transition,all,9fcfa2af,3c388026,4069
1774219692,1774219812,normal,all,9fcfa2af,3c388026,4069
1774219812,1774219933,cpu_stress,sw-wk3,9fcfa2af,3c388026,4069
1774219933,1774219993,transition,all,9fcfa2af,3c388026,4069
1774219993,1774220113,normal,all,9fcfa2af,3c388026,4069
1774220113,1774220233,security_suspicious_network,sw-wk3,9fcfa2af,3c388026,4069
1774220234,1774220294,transition,all,9fcfa2af,3c388026,4069
1774220294,1774220414,normal,all,9fcfa2af,3c388026,4069
1774220414,1774220526,crash_loop,sw-wk3,9fcfa2af,3c388026,4069
1774220526,1774220586,transition,all,9fcfa2af,3c388026,4069
1774220586,1774220706,normal,all,9fcfa2af,3c388026,4069
1774220706,1774220825,memory_leak,sw-wk2,9fcfa2af,3c388026,4069
1774220826,1774220886,transition,all,9fcfa2af,3c388026,4069
1774220886,1774221006,normal,all,9fcfa2af,3c388026,4069
