start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776143674,1776143854,normal,all,ad4116b0,e5585355,4786
1776143854,1776143972,security_suspicious_network,sw-wk3,ad4116b0,e5585355,4786
1776143973,1776143973,transition,all,ad4116b0,e5585355,4786
1776143973,1776144093,normal,all,ad4116b0,e5585355,4786
1776144093,1776144233,network_chaos,sw-wk3,ad4116b0,e5585355,4786
1776144234,1776144234,transition,all,ad4116b0,e5585355,4786
1776144234,1776144354,normal,all,ad4116b0,e5585355,4786
1776144354,1776144486,memory_leak,sw-wk3,ad4116b0,e5585355,4786
1776144487,1776144488,transition,all,ad4116b0,e5585355,4786
1776144488,1776144608,normal,all,ad4116b0,e5585355,4786
1776144608,1776144737,cpu_stress,sw-wk3,ad4116b0,e5585355,4786
1776144738,1776144738,transition,all,ad4116b0,e5585355,4786
1776144738,1776144858,normal,all,ad4116b0,e5585355,4786
1776144858,1776144974,edge_network_flap,sw-wk2,ad4116b0,e5585355,4786
1776144975,1776145039,transition,all,ad4116b0,e5585355,4786
1776145039,1776145159,normal,all,ad4116b0,e5585355,4786
1776145159,1776145297,crash_loop,sw-wk3,ad4116b0,e5585355,4786
1776145297,1776145298,transition,all,ad4116b0,e5585355,4786
1776145298,1776145418,normal,all,ad4116b0,e5585355,4786
1776145418,1776145537,security_high_process,sw-wk3,ad4116b0,e5585355,4786
1776145538,1776145538,transition,all,ad4116b0,e5585355,4786
1776145538,1776145658,normal,all,ad4116b0,e5585355,4786
1776145658,1776145776,security_tmp_exec,sw-wk3,ad4116b0,e5585355,4786
1776145777,1776145778,transition,all,ad4116b0,e5585355,4786
1776145778,1776145898,normal,all,ad4116b0,e5585355,4786
