start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776121815,1776121995,normal,all,b29f4d44,2a4361c4,5298
1776121995,1776122109,security_tmp_exec,sw-wk3,b29f4d44,2a4361c4,5298
1776122109,1776122110,transition,all,b29f4d44,2a4361c4,5298
1776122110,1776122230,normal,all,b29f4d44,2a4361c4,5298
1776122230,1776122343,security_high_process,sw-wk3,b29f4d44,2a4361c4,5298
1776122344,1776122344,transition,all,b29f4d44,2a4361c4,5298
1776122344,1776122464,normal,all,b29f4d44,2a4361c4,5298
1776122464,1776122597,network_chaos,sw-wk2,b29f4d44,2a4361c4,5298
1776122598,1776122598,transition,all,b29f4d44,2a4361c4,5298
1776122598,1776122718,normal,all,b29f4d44,2a4361c4,5298
1776122718,1776122831,security_suspicious_network,sw-wk2,b29f4d44,2a4361c4,5298
1776122832,1776122832,transition,all,b29f4d44,2a4361c4,5298
1776122832,1776122952,normal,all,b29f4d44,2a4361c4,5298
1776122952,1776123073,crash_loop,sw-wk3,b29f4d44,2a4361c4,5298
1776123074,1776123074,transition,all,b29f4d44,2a4361c4,5298
1776123074,1776123194,normal,all,b29f4d44,2a4361c4,5298
1776123194,1776123320,memory_leak,sw-wk3,b29f4d44,2a4361c4,5298
1776123320,1776123321,transition,all,b29f4d44,2a4361c4,5298
1776123321,1776123441,normal,all,b29f4d44,2a4361c4,5298
1776123441,1776123568,edge_network_flap,sw-wk2,b29f4d44,2a4361c4,5298
1776123568,1776123569,transition,all,b29f4d44,2a4361c4,5298
1776123569,1776123689,normal,all,b29f4d44,2a4361c4,5298
1776123689,1776123824,cpu_stress,sw-wk3,b29f4d44,2a4361c4,5298
1776123825,1776123825,transition,all,b29f4d44,2a4361c4,5298
1776123825,1776123946,normal,all,b29f4d44,2a4361c4,5298
