start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776410010,1776410190,normal,all,b2bb99d5,79fce0a9,252
1776410190,1776410308,security_high_process,sw-wk3,b2bb99d5,79fce0a9,252
1776410308,1776410308,transition,all,b2bb99d5,79fce0a9,252
1776410308,1776410429,normal,all,b2bb99d5,79fce0a9,252
1776410429,1776410558,crash_loop,sw-wk3,b2bb99d5,79fce0a9,252
1776410559,1776410559,transition,all,b2bb99d5,79fce0a9,252
1776410559,1776410679,normal,all,b2bb99d5,79fce0a9,252
1776410679,1776410811,security_suspicious_network,sw-wk2,b2bb99d5,79fce0a9,252
1776410811,1776410812,transition,all,b2bb99d5,79fce0a9,252
1776410812,1776410932,normal,all,b2bb99d5,79fce0a9,252
1776410932,1776411049,memory_leak,sw-wk3,b2bb99d5,79fce0a9,252
1776411049,1776411050,transition,all,b2bb99d5,79fce0a9,252
1776411050,1776411170,normal,all,b2bb99d5,79fce0a9,252
1776411170,1776411271,edge_network_flap,sw-wk2,b2bb99d5,79fce0a9,252
1776411272,1776411272,transition,all,b2bb99d5,79fce0a9,252
1776411272,1776411392,normal,all,b2bb99d5,79fce0a9,252
1776411392,1776411499,network_chaos,sw-wk2,b2bb99d5,79fce0a9,252
1776411500,1776411500,transition,all,b2bb99d5,79fce0a9,252
1776411500,1776411620,normal,all,b2bb99d5,79fce0a9,252
1776411620,1776411759,security_tmp_exec,sw-wk3,b2bb99d5,79fce0a9,252
1776411759,1776411760,transition,all,b2bb99d5,79fce0a9,252
1776411760,1776411880,normal,all,b2bb99d5,79fce0a9,252
1776411880,1776411997,cpu_stress,sw-wk3,b2bb99d5,79fce0a9,252
1776411997,1776411998,transition,all,b2bb99d5,79fce0a9,252
1776411998,1776412118,normal,all,b2bb99d5,79fce0a9,252
