start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776128425,1776128605,normal,all,b9e85e0f,5dbc5364,5754
1776128605,1776128724,cpu_stress,sw-wk3,b9e85e0f,5dbc5364,5754
1776128725,1776128725,transition,all,b9e85e0f,5dbc5364,5754
1776128725,1776128845,normal,all,b9e85e0f,5dbc5364,5754
1776128845,1776128965,crash_loop,sw-wk3,b9e85e0f,5dbc5364,5754
1776128965,1776128966,transition,all,b9e85e0f,5dbc5364,5754
1776128966,1776129086,normal,all,b9e85e0f,5dbc5364,5754
1776129086,1776129197,edge_network_flap,sw-wk2,b9e85e0f,5dbc5364,5754
1776129198,1776129199,transition,all,b9e85e0f,5dbc5364,5754
1776129199,1776129319,normal,all,b9e85e0f,5dbc5364,5754
1776129319,1776129451,security_high_process,sw-wk3,b9e85e0f,5dbc5364,5754
1776129452,1776129452,transition,all,b9e85e0f,5dbc5364,5754
1776129452,1776129572,normal,all,b9e85e0f,5dbc5364,5754
1776129572,1776129686,memory_leak,sw-wk3,b9e85e0f,5dbc5364,5754
1776129686,1776129687,transition,all,b9e85e0f,5dbc5364,5754
1776129687,1776129807,normal,all,b9e85e0f,5dbc5364,5754
1776129807,1776129917,security_suspicious_network,sw-wk2,b9e85e0f,5dbc5364,5754
1776129917,1776129918,transition,all,b9e85e0f,5dbc5364,5754
1776129918,1776130038,normal,all,b9e85e0f,5dbc5364,5754
1776130038,1776130173,security_tmp_exec,sw-wk2,b9e85e0f,5dbc5364,5754
1776130173,1776130174,transition,all,b9e85e0f,5dbc5364,5754
1776130174,1776130294,normal,all,b9e85e0f,5dbc5364,5754
1776130294,1776130404,network_chaos,sw-wk2,b9e85e0f,5dbc5364,5754
1776130405,1776130405,transition,all,b9e85e0f,5dbc5364,5754
1776130405,1776130525,normal,all,b9e85e0f,5dbc5364,5754
