start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776391885,1776392065,normal,all,c7847c64,4930c38e,5507
1776392065,1776392185,security_suspicious_network,sw-wk3,c7847c64,4930c38e,5507
1776392185,1776392186,transition,all,c7847c64,4930c38e,5507
1776392186,1776392306,normal,all,c7847c64,4930c38e,5507
1776392306,1776392431,crash_loop,sw-wk3,c7847c64,4930c38e,5507
1776392431,1776392432,transition,all,c7847c64,4930c38e,5507
1776392432,1776392552,normal,all,c7847c64,4930c38e,5507
1776392552,1776392654,security_tmp_exec,sw-wk2,c7847c64,4930c38e,5507
1776392655,1776392655,transition,all,c7847c64,4930c38e,5507
1776392655,1776392775,normal,all,c7847c64,4930c38e,5507
1776392775,1776392913,cpu_stress,sw-wk3,c7847c64,4930c38e,5507
1776392914,1776392914,transition,all,c7847c64,4930c38e,5507
1776392914,1776393035,normal,all,c7847c64,4930c38e,5507
1776393035,1776393145,edge_network_flap,sw-wk2,c7847c64,4930c38e,5507
1776393146,1776393146,transition,all,c7847c64,4930c38e,5507
1776393146,1776393266,normal,all,c7847c64,4930c38e,5507
1776393266,1776393382,network_chaos,sw-wk2,c7847c64,4930c38e,5507
1776393382,1776393383,transition,all,c7847c64,4930c38e,5507
1776393383,1776393503,normal,all,c7847c64,4930c38e,5507
1776393503,1776393641,security_high_process,sw-wk3,c7847c64,4930c38e,5507
1776393641,1776393641,transition,all,c7847c64,4930c38e,5507
1776393641,1776393761,normal,all,c7847c64,4930c38e,5507
1776393761,1776393896,memory_leak,sw-wk3,c7847c64,4930c38e,5507
1776393897,1776393897,transition,all,c7847c64,4930c38e,5507
1776393897,1776394017,normal,all,c7847c64,4930c38e,5507
