start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774260321,1774260501,normal,all,cab92440,3413b2b1,1605
1774260501,1774260637,security_suspicious_network,sw-wk2,cab92440,3413b2b1,1605
1774260637,1774260697,transition,all,cab92440,3413b2b1,1605
1774260697,1774260818,normal,all,cab92440,3413b2b1,1605
1774260818,1774260955,edge_network_flap,sw-wk3,cab92440,3413b2b1,1605
1774260956,1774261016,transition,all,cab92440,3413b2b1,1605
1774261016,1774261136,normal,all,cab92440,3413b2b1,1605
1774261136,1774261256,security_tmp_exec,sw-wk2,cab92440,3413b2b1,1605
1774261256,1774261316,transition,all,cab92440,3413b2b1,1605
1774261316,1774261436,normal,all,cab92440,3413b2b1,1605
1774261436,1774261556,security_high_process,k3s-wk1,cab92440,3413b2b1,1605
1774261556,1774261616,transition,all,cab92440,3413b2b1,1605
1774261616,1774261737,normal,all,cab92440,3413b2b1,1605
1774261737,1774261858,memory_leak,sw-wk3,cab92440,3413b2b1,1605
1774261859,1774261919,transition,all,cab92440,3413b2b1,1605
1774261919,1774262039,normal,all,cab92440,3413b2b1,1605
1774262039,1774262170,crash_loop,sw-wk3,cab92440,3413b2b1,1605
1774262170,1774262230,transition,all,cab92440,3413b2b1,1605
1774262230,1774262350,normal,all,cab92440,3413b2b1,1605
1774262350,1774262471,cpu_stress,sw-wk3,cab92440,3413b2b1,1605
1774262471,1774262532,transition,all,cab92440,3413b2b1,1605
1774262532,1774262652,normal,all,cab92440,3413b2b1,1605
1774262652,1774262782,network_chaos,k3s-wk1,cab92440,3413b2b1,1605
1774262783,1774262843,transition,all,cab92440,3413b2b1,1605
1774262843,1774262963,normal,all,cab92440,3413b2b1,1605
