start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1776394082,1776394263,normal,all,da83402d,82652fd0,2940
1776394263,1776394394,memory_leak,sw-wk3,da83402d,82652fd0,2940
1776394395,1776394395,transition,all,da83402d,82652fd0,2940
1776394395,1776394515,normal,all,da83402d,82652fd0,2940
1776394515,1776394620,security_suspicious_network,sw-wk3,da83402d,82652fd0,2940
1776394621,1776394621,transition,all,da83402d,82652fd0,2940
1776394621,1776394741,normal,all,da83402d,82652fd0,2940
1776394741,1776394882,crash_loop,sw-wk3,da83402d,82652fd0,2940
1776394882,1776394883,transition,all,da83402d,82652fd0,2940
1776394883,1776395003,normal,all,da83402d,82652fd0,2940
1776395003,1776395121,network_chaos,sw-wk2,da83402d,82652fd0,2940
1776395121,1776395121,transition,all,da83402d,82652fd0,2940
1776395121,1776395242,normal,all,da83402d,82652fd0,2940
1776395242,1776395355,edge_network_flap,sw-wk3,da83402d,82652fd0,2940
1776395356,1776395356,transition,all,da83402d,82652fd0,2940
1776395356,1776395476,normal,all,da83402d,82652fd0,2940
1776395476,1776395582,security_tmp_exec,sw-wk2,da83402d,82652fd0,2940
1776395583,1776395583,transition,all,da83402d,82652fd0,2940
1776395583,1776395703,normal,all,da83402d,82652fd0,2940
1776395703,1776395836,cpu_stress,sw-wk3,da83402d,82652fd0,2940
1776395837,1776395837,transition,all,da83402d,82652fd0,2940
1776395837,1776395957,normal,all,da83402d,82652fd0,2940
1776395957,1776396076,security_high_process,sw-wk3,da83402d,82652fd0,2940
1776396076,1776396077,transition,all,da83402d,82652fd0,2940
1776396077,1776396197,normal,all,da83402d,82652fd0,2940
