start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774200851,1774201031,normal,all,e1befbb8,cb43357b,1180
1774201031,1774201164,cpu_stress,sw-wk3,e1befbb8,cb43357b,1180
1774201164,1774201224,transition,all,e1befbb8,cb43357b,1180
1774201224,1774201344,normal,all,e1befbb8,cb43357b,1180
1774201344,1774201452,edge_network_flap,k3s-wk1,e1befbb8,cb43357b,1180
1774201453,1774201513,transition,all,e1befbb8,cb43357b,1180
1774201513,1774201633,normal,all,e1befbb8,cb43357b,1180
1774201633,1774201770,memory_leak,k3s-wk1,e1befbb8,cb43357b,1180
1774201772,1774201832,transition,all,e1befbb8,cb43357b,1180
1774201832,1774201952,normal,all,e1befbb8,cb43357b,1180
1774201952,1774202086,network_chaos,k3s-wk1,e1befbb8,cb43357b,1180
1774202086,1774202147,transition,all,e1befbb8,cb43357b,1180
1774202147,1774202267,normal,all,e1befbb8,cb43357b,1180
1774202267,1774202381,security_suspicious_network,sw-wk3,e1befbb8,cb43357b,1180
1774202381,1774202441,transition,all,e1befbb8,cb43357b,1180
1774202441,1774202561,normal,all,e1befbb8,cb43357b,1180
1774202561,1774202683,crash_loop,sw-wk3,e1befbb8,cb43357b,1180
1774202683,1774202743,transition,all,e1befbb8,cb43357b,1180
1774202743,1774202863,normal,all,e1befbb8,cb43357b,1180
1774202863,1774202983,security_tmp_exec,k3s-wk1,e1befbb8,cb43357b,1180
1774202984,1774203044,transition,all,e1befbb8,cb43357b,1180
1774203044,1774203164,normal,all,e1befbb8,cb43357b,1180
1774203164,1774203298,security_high_process,k3s-wk1,e1befbb8,cb43357b,1180
1774203299,1774203359,transition,all,e1befbb8,cb43357b,1180
1774203359,1774203479,normal,all,e1befbb8,cb43357b,1180
