start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774246727,1774247224,normal,all,f1fe5d70,9b7abc93,7416
1774247224,1774247342,network_chaos,sw-wk3,f1fe5d70,9b7abc93,7416
1774247343,1774247403,transition,all,f1fe5d70,9b7abc93,7416
1774247403,1774247523,normal,all,f1fe5d70,9b7abc93,7416
1774247523,1774247627,security_tmp_exec,sw-wk3,f1fe5d70,9b7abc93,7416
1774247627,1774247687,transition,all,f1fe5d70,9b7abc93,7416
1774247687,1774247807,normal,all,f1fe5d70,9b7abc93,7416
1774247807,1774247948,crash_loop,sw-wk3,f1fe5d70,9b7abc93,7416
1774247949,1774248009,transition,all,f1fe5d70,9b7abc93,7416
1774248009,1774248129,normal,all,f1fe5d70,9b7abc93,7416
1774248129,1774248241,security_suspicious_network,sw-wk3,f1fe5d70,9b7abc93,7416
1774248241,1774248301,transition,all,f1fe5d70,9b7abc93,7416
1774248301,1774248435,normal,all,f1fe5d70,9b7abc93,7416
1774248435,1774248571,edge_network_flap,sw-wk2,f1fe5d70,9b7abc93,7416
1774248571,1774248632,transition,all,f1fe5d70,9b7abc93,7416
1774248632,1774248752,normal,all,f1fe5d70,9b7abc93,7416
1774248752,1774248882,cpu_stress,sw-wk2,f1fe5d70,9b7abc93,7416
1774248883,1774248943,transition,all,f1fe5d70,9b7abc93,7416
1774248943,1774249063,normal,all,f1fe5d70,9b7abc93,7416
1774249063,1774249180,security_high_process,sw-wk2,f1fe5d70,9b7abc93,7416
1774249181,1774249241,transition,all,f1fe5d70,9b7abc93,7416
1774249241,1774249361,normal,all,f1fe5d70,9b7abc93,7416
1774249361,1774249500,memory_leak,sw-wk2,f1fe5d70,9b7abc93,7416
1774249500,1774249561,transition,all,f1fe5d70,9b7abc93,7416
1774249561,1774249681,normal,all,f1fe5d70,9b7abc93,7416
