start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774287079,1774287260,normal,all,f34d968d,b6898bde,9992
1774287260,1774287361,security_tmp_exec,sw-wk3,f34d968d,b6898bde,9992
1774287362,1774287422,transition,all,f34d968d,b6898bde,9992
1774287422,1774287542,normal,all,f34d968d,b6898bde,9992
1774287542,1774287683,security_high_process,sw-wk3,f34d968d,b6898bde,9992
1774287683,1774287743,transition,all,f34d968d,b6898bde,9992
1774287743,1774287864,normal,all,f34d968d,b6898bde,9992
1774287864,1774287974,edge_network_flap,sw-wk3,f34d968d,b6898bde,9992
1774287975,1774288035,transition,all,f34d968d,b6898bde,9992
1774288035,1774288155,normal,all,f34d968d,b6898bde,9992
1774288155,1774288275,crash_loop,sw-wk3,f34d968d,b6898bde,9992
1774288275,1774288335,transition,all,f34d968d,b6898bde,9992
1774288335,1774288456,normal,all,f34d968d,b6898bde,9992
1774288456,1774288579,cpu_stress,sw-wk3,f34d968d,b6898bde,9992
1774288580,1774288640,transition,all,f34d968d,b6898bde,9992
1774288640,1774288760,normal,all,f34d968d,b6898bde,9992
1774288760,1774288871,network_chaos,sw-wk2,f34d968d,b6898bde,9992
1774288871,1774288931,transition,all,f34d968d,b6898bde,9992
1774288931,1774289051,normal,all,f34d968d,b6898bde,9992
1774289051,1774289162,memory_leak,sw-wk3,f34d968d,b6898bde,9992
1774289163,1774289223,transition,all,f34d968d,b6898bde,9992
1774289223,1774289343,normal,all,f34d968d,b6898bde,9992
1774289343,1774289471,security_suspicious_network,k3s-wk1,f34d968d,b6898bde,9992
1774289471,1774289531,transition,all,f34d968d,b6898bde,9992
1774289531,1774289651,normal,all,f34d968d,b6898bde,9992
