start_time,end_time,label,target_node,run_id,fault_order_hash,intensity_seed
1774302993,1774303173,normal,all,f9457c01,c4068567,3527
1774303173,1774303306,security_suspicious_network,k3s-wk1,f9457c01,c4068567,3527
1774303307,1774303367,transition,all,f9457c01,c4068567,3527
1774303367,1774303487,normal,all,f9457c01,c4068567,3527
1774303487,1774303610,edge_network_flap,sw-wk2,f9457c01,c4068567,3527
1774303611,1774303671,transition,all,f9457c01,c4068567,3527
1774303671,1774303791,normal,all,f9457c01,c4068567,3527
1774303791,1774303918,memory_leak,sw-wk3,f9457c01,c4068567,3527
1774303919,1774303979,transition,all,f9457c01,c4068567,3527
1774303979,1774304099,normal,all,f9457c01,c4068567,3527
1774304099,1774304213,security_tmp_exec,k3s-wk1,f9457c01,c4068567,3527
1774304214,1774304274,transition,all,f9457c01,c4068567,3527
1774304274,1774304394,normal,all,f9457c01,c4068567,3527
1774304394,1774304532,network_chaos,sw-wk2,f9457c01,c4068567,3527
1774304532,1774304593,transition,all,f9457c01,c4068567,3527
1774304593,1774304730,normal,all,f9457c01,c4068567,3527
1774304730,1774304847,security_high_process,k3s-wk1,f9457c01,c4068567,3527
1774304848,1774304908,transition,all,f9457c01,c4068567,3527
1774304908,1774305028,normal,all,f9457c01,c4068567,3527
1774305028,1774305148,crash_loop,sw-wk2,f9457c01,c4068567,3527
1774305148,1774305208,transition,all,f9457c01,c4068567,3527
1774305208,1774305329,normal,all,f9457c01,c4068567,3527
1774305329,1774305433,cpu_stress,sw-wk3,f9457c01,c4068567,3527
1774305434,1774305494,transition,all,f9457c01,c4068567,3527
1774305494,1774305614,normal,all,f9457c01,c4068567,3527
