2026-02-28 19:05:07 [byzantine-cluster-worker] Loss=0.1062 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 19:05:07 [byzantine-cluster-worker2] Loss=3.5585 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 19:05:07 [byzantine-cluster-worker3] Loss=0.1211 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 19:05:07 [byzantine-cluster-worker4] Loss=0.1033 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 19:05:07 [byzantine-cluster-worker5] Loss=0.0985 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 19:05:17 [byzantine-cluster-worker] Loss=0.1047 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 19:05:17 [byzantine-cluster-worker2] Loss=3.5922 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 19:05:17 [byzantine-cluster-worker3] Loss=0.1236 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 19:05:17 [byzantine-cluster-worker4] Loss=0.1036 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 19:05:17 [byzantine-cluster-worker5] Loss=0.0989 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 19:05:27 [byzantine-cluster-worker] Loss=0.1055 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 19:05:27 [byzantine-cluster-worker2] Loss=3.6594 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 19:05:27 [byzantine-cluster-worker3] Loss=0.1260 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 19:05:27 [byzantine-cluster-worker4] Loss=0.1032 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 19:05:27 [byzantine-cluster-worker5] Loss=0.0982 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 19:05:37 [byzantine-cluster-worker] Loss=0.1052 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 19:05:37 [byzantine-cluster-worker2] Loss=3.7510 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 19:05:37 [byzantine-cluster-worker3] Loss=0.1316 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 19:05:37 [byzantine-cluster-worker4] Loss=0.1035 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 19:05:37 [byzantine-cluster-worker5] Loss=0.0981 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 19:05:47 [byzantine-cluster-worker] Loss=0.1057 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 19:05:47 [byzantine-cluster-worker2] Loss=3.8746 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 19:05:48 [byzantine-cluster-worker3] Loss=0.1297 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 19:05:48 [byzantine-cluster-worker4] Loss=0.1038 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 19:05:48 [byzantine-cluster-worker5] Loss=0.0977 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 21:00:18 [byzantine-cluster-worker] Loss=0.1458 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:00:18 [byzantine-cluster-worker2] Loss=0.1464 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:00:18 [byzantine-cluster-worker3] Loss=0.1470 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:00:18 [byzantine-cluster-worker4] Loss=0.2478 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:00:18 [byzantine-cluster-worker5] Loss=0.1462 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:00:28 [byzantine-cluster-worker] Loss=0.1468 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:00:28 [byzantine-cluster-worker2] Loss=0.1464 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:00:28 [byzantine-cluster-worker3] Loss=0.1468 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:00:28 [byzantine-cluster-worker4] Loss=0.2483 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:00:28 [byzantine-cluster-worker5] Loss=0.1468 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:00:38 [byzantine-cluster-worker] Loss=0.1469 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:00:38 [byzantine-cluster-worker2] Loss=0.1466 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:00:38 [byzantine-cluster-worker3] Loss=0.1474 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:00:38 [byzantine-cluster-worker4] Loss=0.2449 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:00:38 [byzantine-cluster-worker5] Loss=0.1470 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:00:48 [byzantine-cluster-worker] Loss=0.1480 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:00:48 [byzantine-cluster-worker2] Loss=0.1477 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:00:48 [byzantine-cluster-worker3] Loss=0.1483 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:00:48 [byzantine-cluster-worker4] Loss=0.2408 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:00:48 [byzantine-cluster-worker5] Loss=0.1480 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:28:44 [byzantine-cluster-worker] Loss=0.1029 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:28:44 [byzantine-cluster-worker2] Loss=0.1018 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:28:44 [byzantine-cluster-worker3] Loss=0.1052 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:28:44 [byzantine-cluster-worker4] Loss=0.1984 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:28:44 [byzantine-cluster-worker5] Loss=0.1033 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 21:28:54 [byzantine-cluster-worker] Loss=0.1027 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:28:54 [byzantine-cluster-worker2] Loss=0.1016 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:28:54 [byzantine-cluster-worker3] Loss=0.1040 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:28:54 [byzantine-cluster-worker4] Loss=0.1935 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:28:54 [byzantine-cluster-worker5] Loss=0.1029 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 21:29:04 [byzantine-cluster-worker] Loss=0.1024 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:29:04 [byzantine-cluster-worker2] Loss=0.1012 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:29:05 [byzantine-cluster-worker3] Loss=0.1035 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:29:05 [byzantine-cluster-worker4] Loss=0.1892 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:29:05 [byzantine-cluster-worker5] Loss=0.1022 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 21:29:15 [byzantine-cluster-worker] Loss=0.1042 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:29:15 [byzantine-cluster-worker2] Loss=0.1029 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:29:15 [byzantine-cluster-worker3] Loss=0.1051 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:29:15 [byzantine-cluster-worker4] Loss=0.1874 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:29:15 [byzantine-cluster-worker5] Loss=0.1041 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 21:29:25 [byzantine-cluster-worker] Loss=0.1044 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 21:29:25 [byzantine-cluster-worker2] Loss=0.1043 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 21:29:25 [byzantine-cluster-worker3] Loss=0.1065 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 21:29:25 [byzantine-cluster-worker4] Loss=0.1832 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 21:29:25 [byzantine-cluster-worker5] Loss=0.1043 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 21:29:35 [byzantine-cluster-worker] Loss=0.1072 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 21:29:35 [byzantine-cluster-worker2] Loss=0.1072 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 21:29:35 [byzantine-cluster-worker3] Loss=0.1095 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 21:29:35 [byzantine-cluster-worker4] Loss=0.1770 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 21:29:35 [byzantine-cluster-worker5] Loss=0.1071 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 21:29:45 [byzantine-cluster-worker] Loss=0.1089 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 21:29:45 [byzantine-cluster-worker2] Loss=0.1089 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 21:29:45 [byzantine-cluster-worker3] Loss=0.1113 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 21:29:45 [byzantine-cluster-worker4] Loss=0.1688 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 21:29:45 [byzantine-cluster-worker5] Loss=0.1087 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:01:48 [byzantine-cluster-worker] Loss=0.1108 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:01:48 [byzantine-cluster-worker2] Loss=0.1079 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:01:48 [byzantine-cluster-worker3] Loss=0.1109 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:01:48 [byzantine-cluster-worker4] Loss=0.1668 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:01:48 [byzantine-cluster-worker5] Loss=0.1119 | Trust= 95.0 | ⚠️  ANOMALY
2026-02-28 22:01:58 [byzantine-cluster-worker] Loss=0.1111 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:01:58 [byzantine-cluster-worker2] Loss=0.1086 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:01:58 [byzantine-cluster-worker3] Loss=0.1107 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:01:59 [byzantine-cluster-worker4] Loss=0.1677 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:01:59 [byzantine-cluster-worker5] Loss=0.1123 | Trust= 90.0 | ⚠️  ANOMALY
2026-02-28 22:02:09 [byzantine-cluster-worker] Loss=0.1119 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:02:09 [byzantine-cluster-worker2] Loss=0.1104 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:02:09 [byzantine-cluster-worker3] Loss=0.1105 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:02:09 [byzantine-cluster-worker4] Loss=0.1679 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:02:09 [byzantine-cluster-worker5] Loss=0.1133 | Trust= 85.0 | ⚠️  ANOMALY
2026-02-28 22:02:19 [byzantine-cluster-worker] Loss=0.1120 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:02:19 [byzantine-cluster-worker2] Loss=0.1123 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:02:19 [byzantine-cluster-worker3] Loss=0.1111 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:02:19 [byzantine-cluster-worker4] Loss=0.1673 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:02:19 [byzantine-cluster-worker5] Loss=0.1139 | Trust= 80.0 | ⚠️  ANOMALY
2026-02-28 22:02:29 [byzantine-cluster-worker] Loss=0.1126 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:02:29 [byzantine-cluster-worker2] Loss=0.1132 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:02:29 [byzantine-cluster-worker3] Loss=0.1117 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:02:29 [byzantine-cluster-worker4] Loss=0.1672 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:02:29 [byzantine-cluster-worker5] Loss=0.1145 | Trust= 75.0 | ⚠️  ANOMALY
2026-02-28 22:02:39 [byzantine-cluster-worker] Loss=0.1130 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:02:39 [byzantine-cluster-worker2] Loss=0.1139 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:02:39 [byzantine-cluster-worker3] Loss=0.1117 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:02:39 [byzantine-cluster-worker4] Loss=0.1670 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:02:39 [byzantine-cluster-worker5] Loss=0.1146 | Trust= 70.0 | ⚠️  ANOMALY
2026-02-28 22:02:49 [byzantine-cluster-worker] Loss=0.1134 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:02:49 [byzantine-cluster-worker2] Loss=0.1138 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:02:49 [byzantine-cluster-worker3] Loss=0.1115 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:02:49 [byzantine-cluster-worker4] Loss=0.1671 | Trust= 65.0 | ⚠️  ANOMALY
